"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Berhampur","BP-BAM-2022-05-13-003586","BPA1","2022-05-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-08-002342","BPA1","2022-04-08","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-25-002852","BPA1","2022-04-25","2022-04-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-01-002095","BPA1","2022-04-01","2022-04-01","APPROVED","BP/CTC/000091","2022-04-07"
"Berhampur","BP-BAM-2022-03-13-001649","BPA1","2022-03-13","2022-03-13","APPROVED","BP/BAM/000094","2022-04-07"
"Bhubaneswar","BP-BMC-2022-02-25-001155","BPA1","2022-02-25","2022-03-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-08-002367","BPA1","2022-04-08","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-21-002704","BPA1","2022-04-21","2022-04-21","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001281","BPA1","2022-03-02","2022-04-22","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002705","BPA1","2022-04-21","2022-04-23","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000800","BPA1","2022-02-11","2022-04-08","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-21-001856","BPA1","2022-03-21","2022-03-22","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Sambalpur","BP-SMB-2022-03-16-001758","BPA1","2022-03-16","2022-03-16","APPROVED","BP/SMB/000152","2022-05-02"
"Rourkela","BP-RRK-2022-05-02-003116","BPA1","2022-05-02",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-05-003234","BPA2","2022-05-05","2022-05-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-02-002142","BPA1","2022-04-02","2022-04-03","APPROVED","BP/BDA/000140","2022-04-29"
"Bhubaneswar","BP-BMC-2022-04-22-002736","BPA1","2022-04-22","2022-04-22","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-18-001820","BPA1","2022-03-18","2022-03-18","APPROVED","BP/BED/000111","2022-04-18"
"Bhubaneswar","BP-BMC-2022-05-20-003792","BPA2","2022-05-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-24-001935","BPA1","2022-03-24","2022-03-24","APPROVED","BP/BED/000157","2022-05-04"
"Berhampurdevelopmentauthority","BP-BED-2022-03-24-001936","BPA1","2022-03-24","2022-03-24","APPROVED","BP/BED/000159","2022-05-04"
"Bhubaneswar","BP-BMC-2022-05-10-003463","BPA2","2022-05-10","2022-05-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000572","BPA1","2022-01-28","2022-01-30","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-19-003720","BPA1","2022-05-19","2022-05-20","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-13-003587","BPA1","2022-05-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001286","BPA2","2022-03-02","2022-03-03","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001343","BPA1","2022-03-04","2022-03-12","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-29-002018","BPA1","2022-03-29","2022-04-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-27-001219","BPA1","2022-02-27","2022-03-03","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-18-002606","BPA1","2022-04-18","2022-04-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-24-001934","BPA1","2022-03-24","2022-03-24","APPROVED","BP/BED/000115","2022-04-20"
"Bhubaneswar","BP-BMC-2022-03-16-001750","BPA2","2022-03-16","2022-03-16","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001769","BPA1","2022-03-16","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-11-001592","BPA1","2022-03-11","2022-03-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-13-000839","BPA1","2022-02-13","2022-02-17","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-03-12-001627","BPA1","2022-03-12","2022-03-12","APPROVED","BP/BAM/000127","2022-04-26"
"Bhubaneswar","BP-BMC-2022-04-08-002371","BPA2","2022-04-08","2022-04-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001959","BPA2","2022-03-26","2022-03-26","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-03-20-001835","BPA1","2022-03-20","2022-03-20","APPROVED","BP/BAM/000179","2022-05-11"
"Berhampur","BP-BAM-2022-03-28-001993","BPA1","2022-03-28","2022-03-29","APPROVED","BP/BAM/000120","2022-04-23"
"Bhubaneswar","BP-BMC-2022-03-17-001787","BPA2","2022-03-17","2022-03-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-04-24-002810","BPA1","2022-04-24","2022-04-27","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-04-06-002270","BPA1","2022-04-06","2022-04-06","APPROVED","BP/SMB/000129","2022-04-27"
"Vyasanagar","BP-VSN-2022-04-26-002908","BPA1","2022-04-26","2022-04-27","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-01-002108","BPA1","2022-04-01","2022-05-10","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-21-002702","BPA1","2022-04-21","2022-04-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-06-002279","BPA1","2022-04-06","2022-04-06","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-15-001713","BPA1","2022-03-15","2022-03-15","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-14-003591","BPA1","2022-05-14","2022-05-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-24-002824","BPA1","2022-04-24","2022-04-29","APPROVED","BP/BED/000174","2022-05-09"
"Bhubaneswar","BP-BMC-2022-05-20-003796","BPA2","2022-05-20",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002817","BPA1","2022-04-24","2022-04-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-07-002318","BPA2","2022-04-07","2022-04-13","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-03-21-001867","BPA1","2022-03-21","2022-03-23","APPROVED","BP/SMB/000108","2022-04-14"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-12-002491","BPA1","2022-04-12","2022-04-23","APPROVAL_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002907","BPA1","2022-04-26","2022-04-27","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-10-000777","BPA1","2022-02-10","2022-03-01","APPROVED","BP/BDA/000142","2022-04-29"
"Sambalpur","BP-SMB-2022-04-11-002439","BPA1","2022-04-11","2022-04-12","APPROVED","BP/SMB/000106","2022-04-13"
"Bhubaneswar","BP-BMC-2022-02-03-000676","BPA1","2022-02-03","2022-02-12","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001754","BPA1","2022-03-16","2022-03-16","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-27-001969","BPA2","2022-03-27","2022-03-27","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-27-001971","BPA2","2022-03-27","2022-03-28","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-05-02-003117","BPA1","2022-05-02","2022-05-02","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-22-001873","BPA1","2022-03-22","2022-03-22","APPROVAL_INPROGRESS",NULL,NULL
"Pipli","BP-PPL-2022-04-23-002805","BPA1","2022-04-23","2022-04-27","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-05-05-003241","BPA2","2022-05-05","2022-05-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-29-003047","BPA1","2022-04-29",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-14-002537","BPA2","2022-04-14",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-02-003112","BPA1","2022-05-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-25-002855","BPA1","2022-04-25",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-11-000809","BPA2","2022-02-11","2022-02-16","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003614","BPA1","2022-05-15","2022-05-15","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Sambalpur","BP-SMB-2022-04-30-003062","BPA1","2022-04-30","2022-05-02","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-19-000989","BPA1","2022-02-19","2022-04-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-20-002667","BPA1","2022-04-20","2022-04-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-22-002746","BPA1","2022-04-22","2022-04-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-22-002747","BPA1","2022-04-22","2022-04-22","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002706","BPA1","2022-04-21","2022-04-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002725","BPA1","2022-04-21","2022-04-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
